Water Velocity (m/s),Heater Wattage,Heater On Time (s),Heater Off Time (s),Ring,Sensor A Start,Sensor B Start,Sensor C Start,Sensor D Start,Sensor E Start,Sensor F Start,Sensor A End,Sensor B End,Sensor C End,Sensor D End,Sensor E End,Sensor F End
0.5,50,30,240,1,,,,,,,,,,,,
0.5,50,30,600,1,,,,,,,,,,,,
0.5,50,30,1200,1,,,,,,,,,,,,
1,50,30,240,1,,,,,,,,,,,,
1,50,30,600,1,,,,,,,,,,,,
1,50,30,1200,1,,,,,,,,,,,,
0.5,50,30,240,2,,,,,,,,,,,,
0.5,50,30,600,2,,,,,,,,,,,,
0.5,50,30,1200,2,,,,,,,,,,,,
1,50,30,240,2,,,,,,,,,,,,
1,50,30,600,2,,,,,,,,,,,,
1,50,30,1200,2,,,,,,,,,,,,
